"Age_group","Date","Residual","yday"
"01-14",2010-01-04,-0.480132551693028,4
"01-14",2010-01-11,0.347730795222597,11
"01-14",2010-01-18,-0.287444569478273,18
"01-14",2010-01-25,-0.288072978517825,25
"01-14",2010-02-01,-0.0892484555959188,32
"01-14",2010-02-08,0.149073712738014,39
"01-14",2010-02-15,-1.39496429946324,46
"01-14",2010-02-22,0.141514083421145,53
"01-14",2010-03-01,0.271153671652689,60
"01-14",2010-03-08,0.490929318874918,67
"01-14",2010-03-15,0.131859417776417,74
"01-14",2010-03-22,0.325042468621034,81
"01-14",2010-03-29,-0.307464814404165,88
"01-14",2010-04-05,-0.30781280734795,95
"01-14",2010-04-12,-0.542504647470594,102
"01-14",2010-04-19,0.275573710583187,109
"01-14",2010-04-26,-0.00712202109946907,116
"01-14",2010-05-03,-0.326365072736719,123
"01-14",2010-05-10,-0.260125316078307,130
"01-14",2010-05-17,0.00863772357322223,137
"01-14",2010-05-24,0.419995882284303,144
"01-14",2010-05-31,0.266384515088511,151
"01-14",2010-06-07,-0.937591961567794,158
"01-14",2010-06-14,-0.144366142391952,165
"01-14",2010-06-21,-0.644863670796171,172
"01-14",2010-06-28,-0.228303624668827,179
"01-14",2010-07-05,0.224835423630783,186
"01-14",2010-07-12,0.304784762695835,193
"01-14",2010-07-19,-0.313784142349221,200
"01-14",2010-07-26,-0.438747208979711,207
"01-14",2010-08-02,-0.0753966941165521,214
"01-14",2010-08-09,-0.581735474439712,221
"01-14",2010-08-16,-0.292046398050389,228
"01-14",2010-08-23,0.025643385476703,235
"01-14",2010-08-30,-0.359061386444084,242
"01-14",2010-09-06,-0.0564050088571393,249
"01-14",2010-09-13,0.171742011611568,256
"01-14",2010-09-20,0.23368396819681,263
"01-14",2010-09-27,-0.116358011214793,270
"01-14",2010-10-04,0.400045631020796,277
"01-14",2010-10-11,0.443073431183692,284
"01-14",2010-10-18,0.247430786003889,291
"01-14",2010-10-25,-0.170008036394845,298
"01-14",2010-11-01,0.225309610761018,305
"01-14",2010-11-08,-0.00567630779992422,312
"01-14",2010-11-15,-0.549731241706475,319
"01-14",2010-11-22,-0.0125306102518673,326
"01-14",2010-11-29,0.143246024500272,333
"01-14",2010-12-06,0.216483642305334,340
"01-14",2010-12-13,-0.000779919600337709,347
"01-14",2010-12-20,0.228895315910032,354
"01-14",2010-12-27,0.323867008798055,361
"01-14",2011-01-03,0.380314561582177,3
"01-14",2011-01-10,0.118361296556511,10
"01-14",2011-01-17,-0.384340728918926,17
"01-14",2011-01-24,0.17485107372222,24
"01-14",2011-01-31,-0.519969865391874,31
"01-14",2011-02-07,0.0163271510858601,38
"01-14",2011-02-14,0.0128348848300501,45
"01-14",2011-02-21,-0.396558761774325,52
"01-14",2011-02-28,0.228132060342035,59
"01-14",2011-03-07,-0.180791137249651,66
"01-14",2011-03-14,-0.0880302524740648,73
"01-14",2011-03-21,0.0778323782474457,80
"01-14",2011-03-28,0.403800157655444,87
"01-14",2011-04-04,0.288176121317033,94
"01-14",2011-04-11,0.0839670160046237,101
"01-14",2011-04-18,-0.0535584863240999,108
"01-14",2011-04-25,0.014687454301241,115
"01-14",2011-05-02,-0.196512279276017,122
"01-14",2011-05-09,-0.345128989107741,129
"01-14",2011-05-16,-0.058052623687355,136
"01-14",2011-05-23,0.188926907643866,143
"01-14",2011-05-30,-0.560783230934981,150
"01-14",2011-06-06,0.0378944953595047,157
"01-14",2011-06-13,-0.347725332249246,164
"01-14",2011-06-20,0.0679246171940199,171
"01-14",2011-06-27,-0.614190713121597,178
"01-14",2011-07-04,-0.19743607745321,185
"01-14",2011-07-11,-0.0810895291533136,192
"01-14",2011-07-18,0.191424239948767,199
"01-14",2011-07-25,0.274286492882097,206
"01-14",2011-08-01,0.207087467740249,213
"01-14",2011-08-08,-0.273658525101066,220
"01-14",2011-08-15,-0.96448211882279,227
"01-14",2011-08-22,-0.271740699557458,234
"01-14",2011-08-29,0.0190829932650288,241
"01-14",2011-09-05,-0.352978736387693,248
"01-14",2011-09-12,0.573424841803522,255
"01-14",2011-09-19,0.325076288836824,262
